"id","name","createDate","category","lon","lat"
105,"Sandman Hotel & Suites Winnipeg Airport",2014-07-17,"lodging",-97.2038827,49.897371
95,"DiegoDev Group",2014-02-13,"default",-117.227693,32.94998
96,"Ares Armor",2013-12-11,"default",-117.3788832,33.1967248
97,"Heritage Senior Care",2013-12-29,"default",-117.348439,33.164004
98,"Invincible Creative",2014-05-02,"default",-117.188709,32.76434
99,"Villalobos SD",2013-12-05,"default",-117.2529544,32.7959837
101,"Computer and Ink Store",2014-10-11,"default",-117.243776,32.799441
102,"San Marcos Dental Center",2013-12-05,"default",-117.2003136,33.1471342
14375,"<U+03A4>apetsa<U+03C1><U+03AF>e<U+03C2> a<U+03C5>t<U+03BF><U+03BA><U+03B9><U+03BD><U+03AE>t<U+03C9><U+03BD> - <U+039A><U+0391><U+03A1><U+0391><U+039C><U+03A0><U+0395><U+03A1><U+0397>S <U+03A7><U+03A1><U+0397>S<U+03A4><U+039F>S",2018-07-04,"default",22.9201626777649,40.6474989301615
124,"Chens Hunam Chinese Restaurant",2014-03-21,"food",-96.6091199,39.1922528
17073,"AZIENDA AGRICOLA FORTUNATO",2019-03-07,"food",12.5646364688873,42.0005244739606
107,"Sandman Hotel Vancouver City Centre",2014-07-17,"lodging",-123.1129606,49.2788858
106,"Oscar Lounge",2015-04-25,"food",6.9611641,50.9369979
108,"Waves Coffee House",2013-08-23,"cafe",-123.1224892,49.2807244
9062,"KAMRAN CHATTHA",2016-12-30,"default",72.9114103317261,31.7588235518399
94,"Great Wall Express",2014-04-13,"food",-97.8533226,30.5499212
9063,"KAMRAN CHATTHA",2016-12-30,"default",72.9173648357391,31.7580390203886
112,"Royal Bohemian Crystal",2013-11-19,"default",15.2702063,50.6973488
113,"Clink 261",2014-03-05,"lodging",-0.1200706,51.5290096
114,"realraum",2014-08-11,"default",15.4505767,47.0655785
115,"Camping Dalen",2014-07-07,"shopping",8.0075507,59.4445706
116,"Himalayan People",2013-12-02,"default",-0.088663,51.5271838
117,"Xcovers.cz",2014-12-13,"default",16.1059363,50.2433201
118,"Dionysos",2013-12-28,"food",18.0850366,59.3135253
119,"Cafè Guldhornene",2015-03-17,"nightlife",12.5691017,55.6771501
120,"Heidi's Bier Bar",2015-03-17,"nightlife",12.5694568,55.6773855
121,"Utopia Bar & Restaurant",2014-06-06,"food",102.1401794,19.8881185
122,"CA Radost",2014-03-08,"default",17.9193025,49.9174351
123,"CeX",2014-10-26,"default",-0.1343142,51.5176692
9064,"KAMRAN CHATTHA",2016-12-30,"default",72.8915405273437,31.7713751506284
125,"Juniorbit Sas - Informatica",2014-01-21,"default",9.1370482,45.5019349
127,"Sushibar Satzuma",2014-07-12,"food",18.053015,59.2961262
87,"Alchymista",2014-01-10,"cafe",14.4171779,50.1008874
92,"Sandman Hotel & Suites Calgary West",2014-07-17,"lodging",-114.2085113,51.0851087
9065,"KAMRAN CHATTHA",2016-12-30,"default",72.8489685058594,31.7223266802243
129,"Chaos Cowork Cluj",2014-10-11,"default",23.5898366,46.7716796
135,"Benjamin Sports Inc.",2014-08-26,"default",-79.3423214,43.6931896
132,"J. H. Mann - Fishmonger",2014-04-23,"grocery",-1.497067,53.3675802
133,"The Brooklyn Café",2014-01-14,"cafe",-4.2796174,55.8318061
134,"Farmàcia Simon Bombi",2015-05-24,"default",2.8198917,41.9761838
163,"Sandman Hotel & Suites Kelowna",2014-07-17,"lodging",-119.440302,49.8824414
136,"Gästehof Apolony",2014-01-08,"lodging",10.7680096,53.7678697
137,"Chalupa Komnátka",2013-11-26,"lodging",16.8796875,50.0180775
9066,"KAMRAN CHATTHA",2016-12-30,"default",73.0680084228516,31.8256484960194
139,"Vegemesta",2014-07-13,"food",23.7547799,61.4991966
140,"University of Cumbria Ambleside Campus",2014-05-30,"attraction",-2.9642364,54.4358207
